station_id,station_name,so_many,one_or_two,none,lines_served
17551,"Chambers St / WTC / Park Place / Cortlandt St",20,32,71,"2 3 A C E N Q R W"
17836,"Van Siclen Av",4,7,15,"J Z"
17804,"Metropolitan Av / Lorimer St",9,18,37,"G L"
20019,"66 St-Lincoln Center",4,4,11,"1 2"
20054,"Clinton-Washington Avs",6,2,11,"A C"
20059,"47-50 Sts-Rockefeller Ctr",16,35,70,"B D F M"
17555,"Borough Hall / Court St",7,13,28,"2 3 4 5 N Q R W"
17560,"Grand Army Plaza",2,3,7,"2 3 4"
17736,"23 St",4,11,21,"F M"
20050,"163 St-Amsterdam Av",3,2,7,"A C"
17658,"42 St - Bryant Pk / 5 Av",29,30,84,"7 B D F M"
17687,"Lafayette Av",5,2,10,"A C"
17740,"Parkside Av",3,4,10,"B Q"
17623,"103 St",3,6,13,"4 6"
17629,"Lexington Av / 51 St",24,39,92,"4 6 E F M"
17904,"36 St",11,12,34,"D N R W"
17531,"219 St",3,3,9,"2 5"
17762,"75 Av",3,1,6,"E F"
17775,"Church Av",1,7,12,"F G"
17799,"36 St",2,2,6,"E F M R"
17846,"Grand St",6,6,18,"L"
17855,"Atlantic Av",0,4,6,"L"
17858,"New Lots Av",1,3,6,"L"
20074,"Clinton-Washington Avs",0,4,6,"G"
17513,"Times Sq - 42 St / Port Authority Bus Terminal",81,122,312,"S 1 2 3 7 A C E N Q R W"
17895,"23 St",5,8,20,"N Q R W"
17798,"Steinway St",5,6,17,"E F M R"
20038,"Flushing-Main St",10,25,54,"7"
20072,"Myrtle-Willoughby Avs",1,8,14,"G"
20161,"75 St-Elderts Ln",5,4,14,"J Z"
20049,"Inwood-207 St",6,6,19,"A"
17548,"125 St",8,7,24,"2 3"
17614,"Longwood Av",2,3,8,"6"
17790,"67 Av",0,5,8,"E F M R"
17849,"Jefferson St",3,2,8,"L"
17857,"Livonia Av",3,2,8,"L"
20056,"Ozone Park-Lefferts Blvd",2,8,16,"A"
17663,"181 St",2,6,13,"A"
17811,"Fulton St",4,4,13,"G"
17880,"Avenue U",3,5,13,"N W"
17574,"Saratoga Av",4,5,15,"2 3 4 5"
17771,"4 Av - 9 St",8,10,30,"D F G N R W"
20031,"138 St-Grand Concourse",4,2,10,"4 5"
17677,"50 St",7,15,37,"A C E"
17511,"59 St - Columbus Circle",19,42,103,"1 2 A C B D"
17862,"Fresh Pond Rd",3,7,17,"M"
17622,"110 St",3,4,12,"4 6"
17630,"Grand Central - 42 St",26,51,133,"S 4 5 6 7"
17507,"86 St",4,4,14,"1 2 3"
17682,"Spring St",1,3,7,"A C E"
17837,"Alabama Av",6,2,14,"J Z"
17863,"Forest Av",1,3,7,"M"
20047,"Vernon Blvd-Jackson Av",3,5,14,"7"
17639,"Brooklyn Bridge-City Hall / Chambers St",8,17,44,"4 5 6 J Z"
17708,"Roosevelt Island",3,10,23,"F M"
17679,"23 St",5,4,16,"A C E"
17701,"80 St",2,9,20,"A"
20070,"63 Dr-Rego Park",2,9,20,"E F M R"
17744,"Newkirk Plaza",1,16,31,"B Q"
17520,"Houston St",4,2,11,"1 2"
17680,"14 St / 8 Av",21,20,75,"A C E L"
17905,"45 St",3,3,11,"N R W"
17601,"Morris Park",3,4,13,"5"
20022,"Wakefield-241 St",3,4,13,"2"
17566,"Church Av",5,3,15,"2 5"
17874,"8 Av",6,3,17,"N W"
17599,"Gun Hill Rd",6,6,23,"5"
17715,"62 St / New Utrecht Av",6,6,23,"D N R W"
17757,"169 St",5,7,23,"E F"
17683,"Canal St",6,7,25,"A C E"
17654,"Queensboro Plaza",12,14,51,"7 N W"
17540,"Freeman St",2,5,14,"2 5"
17673,"96 St",1,3,8,"A C B"
17717,"79 St",3,3,12,"D"
17820,"Beach 25 St",1,5,12,"A"
17833,"Crescent St",3,6,18,"J Z"
20020,"34 St-Penn Station",18,21,78,"1 2 3"
20037,"68 St-Hunter College",5,4,18,"4 6"
20061,"Coney Island-Stillwell Av",4,11,30,"D F N Q"
20052,"34 St-Penn Station",27,35,126,"A C E"
17748,"Kings Hwy",15,16,64,"B Q"
17841,"Kosciuszko St",3,5,17,"J"
17593,"161 St - Yankee Stadium",15,23,81,"4 B D"
17749,"Avenue U",2,5,15,"Q"
20623,"Newkirk Av-Little Haiti",3,4,15,"2 5"
17696,"Liberty Av",5,1,13,"A C"
17894,"28 St",2,4,13,"N Q R W"
17910,"86 St",8,10,39,"R"
17537,"E 180 St",10,11,46,"2 5"
17768,"Bergen St",1,4,11,"F G"
17879,"Kings Hwy",4,6,22,"N W"
17710,"57 St",4,5,20,"F M"
17720,"Bay Pkwy",3,5,18,"D R W"
17557,"Nevins St",4,6,23,"2 3 4 5"
17576,"Junius St",3,0,7,"2 3 4 5"
17578,"Van Siclen Av",0,3,7,"2 3 4 5"
17591,"170 St",4,2,14,"4"
17819,"Beach 36 St",1,2,7,"A"
17822,"Beach 90 St",2,1,7,"S A"
17834,"Norwood Av",1,2,7,"J Z"
17873,"Broad St",1,2,7,"J Z"
17888,"Broadway",3,3,14,"N W"
20015,"Van Cortlandt Park-242 St",3,3,14,"1"
20042,"82 St-Jackson Hts",0,6,14,"7"
17891,"5 Av / 59 St",3,5,19,"N R W"
17671,"Cathedral Pkwy (110 St)",3,2,12,"A C B"
17741,"Church Av",3,12,36,"B Q"
17867,"Myrtle Av",7,10,41,"M J Z"
17702,"88 St",1,3,10,"A"
17899,"Rector St",2,4,15,"N Q R W"
20088,"8 St-NYU",4,2,15,"N Q R W"
17739,"Prospect Park",6,13,48,"S B Q"
17893,"49 St",6,5,28,"N Q R W"
17541,"Simpson St",3,6,23,"2 5"
17848,"Morgan Av",2,3,13,"L"
20030,"Bedford Park Blvd-Lehman College",3,2,13,"4"
17512,"50 St",3,3,16,"1 2"
17774,"Fort Hamilton Pkwy",2,1,8,"F G"
17838,"Chauncey St",2,4,16,"J Z"
17494,"207 St",2,2,11,"1"
17577,"Pennsylvania Av",1,3,11,"2 3 4 5"
17600,"Pelham Pkwy",0,4,11,"5"
17668,"135 St",4,0,11,"A C B"
17718,"18 Av",2,2,11,"D"
17827,"111 St",2,2,11,"J"
20087,"57 St-7 Av",5,12,47,"N Q R W"
17871,"Marcy Av",5,4,25,"M J Z"
17845,"Graham Av",1,4,14,"L"
20040,"103 St-Corona Plaza",2,3,14,"7"
17866,"Central Av",5,1,17,"M"
20066,"Jamaica Center-Parsons / Archer",8,18,75,"E J Z"
17608,"Parkchester",3,7,29,"6"
20076,"Howard Beach-JFK Airport",3,7,29,"A"
17554,"Clark St",1,2,9,"2 3"
17579,"New Lots Av",3,1,12,"2 3 4 5"
17585,"Kingsbridge Rd",3,7,30,"4"
17743,"Cortelyou Rd",3,3,18,"B Q"
17529,"233 St",1,7,25,"2 5"
17532,"Gun Hill Rd",2,4,19,"2 5"
17884,"96 St",4,2,19,"N Q R"
17598,"Baychester Av",2,3,16,"5"
20041,"90 St-Elmhurst Av",2,3,16,"7"
17644,"Junction Blvd",3,6,29,"7"
17543,"Prospect Av",1,3,13,"2 5"
